,msg_type,count,msg_channel,msg_note,msg_velocity,tick
559,['note_on'],1,[0],[67],[64],1560
560,['note_on'],1,[0],[67],[64],1560
561,['note_on'],1,[0],[67],[64],1560
562,['note_on'],1,[0],[67],[64],1560
563,['note_on'],1,[0],[67],[64],1560
564,['note_on'],1,[0],[67],[64],1560
565,['note_on'],1,[0],[67],[64],1560
566,['note_on'],1,[0],[67],[64],1560
567,['note_on'],1,[0],[67],[64],1560
568,['note_on'],1,[0],[67],[64],1560
569,['note_on'],1,[0],[67],[64],1560
570,['note_on'],1,[0],[67],[64],1560
571,['note_on'],1,[0],[67],[64],1560
572,['note_on'],1,[0],[67],[64],1560
573,['note_on'],1,[0],[67],[64],1560
574,['note_on'],1,[0],[67],[64],1560
575,['note_on'],1,[0],[67],[64],1560
576,['note_on'],1,[0],[67],[64],1560
577,['note_on'],1,[0],[67],[64],1560
578,['note_on'],1,[0],[67],[64],1560
579,['note_on'],1,[0],[67],[64],1560
580,['note_on'],1,[0],[67],[64],1560
581,['note_on'],1,[0],[67],[64],1560
582,['note_on'],1,[0],[67],[64],1560
583,['note_on'],1,[0],[67],[64],1560
584,['note_on'],1,[0],[67],[64],1560
585,['note_on'],1,[0],[67],[64],1560
586,['note_on'],1,[0],[67],[64],1560
587,['note_on'],1,[0],[67],[64],1560
588,['note_on'],1,[0],[67],[64],1560
589,['note_on'],1,[0],[67],[64],1560
590,['note_on'],1,[0],[67],[64],1560
591,['note_on'],1,[0],[67],[64],1560
592,['note_on'],1,[0],[67],[64],1560
593,['note_on'],1,[0],[67],[64],1560
594,['note_on'],1,[0],[67],[64],1560
595,['note_on'],1,[0],[67],[64],1560
596,['note_on'],1,[0],[67],[64],1560
597,['note_on'],1,[0],[67],[64],1560
598,['note_on'],1,[0],[67],[64],1560
599,['note_on'],1,[0],[67],[64],1560
600,['note_on'],1,[0],[67],[64],1560
601,['note_on'],1,[0],[67],[64],1560
602,['note_on'],1,[0],[67],[64],1560
603,['note_on'],1,[0],[67],[64],1560
604,['note_on'],1,[0],[67],[64],1560
605,['note_on'],1,[0],[67],[64],1560
606,['note_on'],1,[0],[67],[64],1560
607,['note_on'],1,[0],[67],[64],1560
608,['note_on'],1,[0],[67],[64],1560
609,['note_on'],1,[0],[67],[64],1560
610,['note_on'],1,[0],[67],[64],1560
611,['note_on'],1,[0],[67],[64],1560
612,['note_on'],1,[0],[67],[64],1560
613,['note_on'],1,[0],[67],[64],1560
614,['note_on'],1,[0],[67],[64],1560
615,['note_on'],1,[0],[67],[64],1560
616,['note_on'],1,[0],[67],[64],1560
617,['note_on'],1,[0],[67],[64],1560
618,['note_on'],1,[0],[67],[64],1560
619,['note_on'],1,[0],[67],[64],1560
620,['note_on'],1,[0],[67],[64],1560
621,['note_on'],1,[0],[67],[64],1560
622,['note_on'],1,[0],[67],[64],1560
623,['note_on'],1,[0],[67],[64],1560
624,['note_on'],1,[0],[67],[64],1560
625,['note_on'],1,[0],[67],[64],1560
626,['note_on'],1,[0],[67],[64],1560
627,['note_on'],1,[0],[67],[64],1560
628,['note_on'],1,[0],[67],[64],1560
